10.0
Max time: 26
Max memory: 132
test01: Accepted. Time: 0.026s
test02: Accepted. Time: 0.021s
test03: Accepted. Time: 0.022s
test04: Accepted. Time: 0.021s
test05: Accepted. Time: 0.022s
test06: Accepted. Time: 0.021s
test07: Accepted. Time: 0.023s
test08: Accepted. Time: 0.022s
test09: Accepted. Time: 0.023s
test10: Accepted. Time: 0.023s
test11: Accepted. Time: 0.022s
test12: Accepted. Time: 0.022s
test13: Accepted. Time: 0.022s
test14: Accepted. Time: 0.021s
test15: Accepted. Time: 0.022s
test16: Accepted. Time: 0.022s
test17: Accepted. Time: 0.021s
test18: Accepted. Time: 0.021s
test19: Accepted. Time: 0.021s
test20: Accepted. Time: 0.022s
