1.0
Max time: 70
Max memory: 78
test01: Accepted. Time: 0.07s
test02: Accepted. Time: 0.043s
test03: Wrong Answer. Time: 0.047s
test04: Wrong Answer. Time: 0.037s
test05: Wrong Answer. Time: 0.054s
test06: Wrong Answer. Time: 0.049s
test07: Wrong Answer. Time: 0.046s
test08: Wrong Answer. Time: 0.048s
test09: Wrong Answer. Time: 0.047s
test10: Wrong Answer. Time: 0.046s
test11: Wrong Answer. Time: 0.038s
test12: Wrong Answer. Time: 0.04s
test13: Wrong Answer. Time: 0.043s
test14: Wrong Answer. Time: 0.047s
test15: Wrong Answer. Time: 0.043s
test16: Wrong Answer. Time: 0.043s
test17: Wrong Answer. Time: 0.044s
test18: Wrong Answer. Time: 0.05s
test19: Wrong Answer. Time: 0.065s
test20: Wrong Answer. Time: 0.044s
