9.5
Max time: 267
Max memory: 80
test01: Accepted. Time: 0.267s
test02: Accepted. Time: 0.047s
test03: Accepted. Time: 0.054s
test04: Accepted. Time: 0.042s
test05: Accepted. Time: 0.046s
test06: Accepted. Time: 0.034s
test07: Accepted. Time: 0.05s
test08: Accepted. Time: 0.05s
test09: Accepted. Time: 0.049s
test10: Accepted. Time: 0.043s
test11: Accepted. Time: 0.045s
test12: Accepted. Time: 0.057s
test13: Accepted. Time: 0.053s
test14: Accepted. Time: 0.05s
test15: Accepted. Time: 0.066s
test16: Accepted. Time: 0.066s
test17: Accepted. Time: 0.032s
test18: Accepted. Time: 0.047s
test19: Accepted. Time: 0.033s
test20: Wrong Answer. Time: 0.062s
