1.0
Max time: 68
Max memory: 80
test01: Accepted. Time: 0.068s
test02: Accepted. Time: 0.033s
test03: Wrong Answer. Time: 0.051s
test04: Wrong Answer. Time: 0.029s
test05: Wrong Answer. Time: 0.048s
test06: Wrong Answer. Time: 0.033s
test07: Wrong Answer. Time: 0.047s
test08: Wrong Answer. Time: 0.047s
test09: Wrong Answer. Time: 0.036s
test10: Wrong Answer. Time: 0.053s
test11: Wrong Answer. Time: 0.043s
test12: Wrong Answer. Time: 0.047s
test13: Wrong Answer. Time: 0.034s
test14: Wrong Answer. Time: 0.049s
test15: Wrong Answer. Time: 0.049s
test16: Wrong Answer. Time: 0.053s
test17: Wrong Answer. Time: 0.048s
test18: Wrong Answer. Time: 0.038s
test19: Wrong Answer. Time: 0.059s
test20: Wrong Answer. Time: 0.038s
