10.0
Max time: 71
Max memory: 78
test01: Accepted. Time: 0.066s
test02: Accepted. Time: 0.039s
test03: Accepted. Time: 0.042s
test04: Accepted. Time: 0.041s
test05: Accepted. Time: 0.039s
test06: Accepted. Time: 0.043s
test07: Accepted. Time: 0.039s
test08: Accepted. Time: 0.04s
test09: Accepted. Time: 0.04s
test10: Accepted. Time: 0.042s
test11: Accepted. Time: 0.042s
test12: Accepted. Time: 0.046s
test13: Accepted. Time: 0.043s
test14: Accepted. Time: 0.042s
test15: Accepted. Time: 0.038s
test16: Accepted. Time: 0.041s
test17: Accepted. Time: 0.041s
test18: Accepted. Time: 0.038s
test19: Accepted. Time: 0.055s
test20: Accepted. Time: 0.071s
