9.5
Max time: 542
Max memory: 94
test01: Accepted. Time: 0.542s
test02: Accepted. Time: 0.055s
test03: Accepted. Time: 0.065s
test04: Accepted. Time: 0.056s
test05: Accepted. Time: 0.052s
test06: Accepted. Time: 0.054s
test07: Accepted. Time: 0.061s
test08: Accepted. Time: 0.058s
test09: Accepted. Time: 0.057s
test10: Accepted. Time: 0.053s
test11: Accepted. Time: 0.055s
test12: Accepted. Time: 0.052s
test13: Accepted. Time: 0.048s
test14: Accepted. Time: 0.05s
test15: Accepted. Time: 0.051s
test16: Accepted. Time: 0.046s
test17: Accepted. Time: 0.06s
test18: Accepted. Time: 0.049s
test19: Accepted. Time: 0.047s
test20: Wrong Answer. Time: 0.051s
