10.0
Max time: 69
Max memory: 78
test01: Accepted. Time: 0.069s
test02: Accepted. Time: 0.052s
test03: Accepted. Time: 0.052s
test04: Accepted. Time: 0.061s
test05: Accepted. Time: 0.062s
test06: Accepted. Time: 0.045s
test07: Accepted. Time: 0.038s
test08: Accepted. Time: 0.035s
test09: Accepted. Time: 0.037s
test10: Accepted. Time: 0.04s
test11: Accepted. Time: 0.04s
test12: Accepted. Time: 0.041s
test13: Accepted. Time: 0.036s
test14: Accepted. Time: 0.045s
test15: Accepted. Time: 0.05s
test16: Accepted. Time: 0.04s
test17: Accepted. Time: 0.04s
test18: Accepted. Time: 0.043s
test19: Accepted. Time: 0.038s
test20: Accepted. Time: 0.041s
