10.0
Max time: 424
Max memory: 77
test01: Accepted. Time: 0.043s
test02: Accepted. Time: 0.031s
test03: Accepted. Time: 0.407s
test04: Accepted. Time: 0.424s
test05: Accepted. Time: 0.37s
test06: Accepted. Time: 0.369s
test07: Accepted. Time: 0.061s
test08: Accepted. Time: 0.062s
test09: Accepted. Time: 0.06s
test10: Accepted. Time: 0.06s
test11: Accepted. Time: 0.057s
test12: Accepted. Time: 0.026s
test13: Accepted. Time: 0.028s
test14: Accepted. Time: 0.027s
test15: Accepted. Time: 0.026s
test16: Accepted. Time: 0.411s
test17: Accepted. Time: 0.026s
test18: Accepted. Time: 0.024s
test19: Accepted. Time: 0.028s
test20: Accepted. Time: 0.059s
