10.0
Max time: 356
Max memory: 77
test01: Accepted. Time: 0.036s
test02: Accepted. Time: 0.027s
test03: Accepted. Time: 0.35s
test04: Accepted. Time: 0.343s
test05: Accepted. Time: 0.334s
test06: Accepted. Time: 0.356s
test07: Accepted. Time: 0.057s
test08: Accepted. Time: 0.057s
test09: Accepted. Time: 0.056s
test10: Accepted. Time: 0.058s
test11: Accepted. Time: 0.06s
test12: Accepted. Time: 0.026s
test13: Accepted. Time: 0.026s
test14: Accepted. Time: 0.023s
test15: Accepted. Time: 0.026s
test16: Accepted. Time: 0.346s
test17: Accepted. Time: 0.026s
test18: Accepted. Time: 0.028s
test19: Accepted. Time: 0.029s
test20: Accepted. Time: 0.061s
