10.0
Max time: 401
Max memory: 77
test01: Accepted. Time: 0.037s
test02: Accepted. Time: 0.036s
test03: Accepted. Time: 0.401s
test04: Accepted. Time: 0.383s
test05: Accepted. Time: 0.389s
test06: Accepted. Time: 0.368s
test07: Accepted. Time: 0.056s
test08: Accepted. Time: 0.059s
test09: Accepted. Time: 0.06s
test10: Accepted. Time: 0.059s
test11: Accepted. Time: 0.058s
test12: Accepted. Time: 0.026s
test13: Accepted. Time: 0.027s
test14: Accepted. Time: 0.027s
test15: Accepted. Time: 0.029s
test16: Accepted. Time: 0.372s
test17: Accepted. Time: 0.028s
test18: Accepted. Time: 0.026s
test19: Accepted. Time: 0.026s
test20: Accepted. Time: 0.055s
