10.0
Max time: 421
Max memory: 44
test01: Accepted. Time: 0.044s
test02: Accepted. Time: 0.027s
test03: Accepted. Time: 0.421s
test04: Accepted. Time: 0.413s
test05: Accepted. Time: 0.375s
test06: Accepted. Time: 0.372s
test07: Accepted. Time: 0.06s
test08: Accepted. Time: 0.058s
test09: Accepted. Time: 0.056s
test10: Accepted. Time: 0.057s
test11: Accepted. Time: 0.061s
test12: Accepted. Time: 0.032s
test13: Accepted. Time: 0.031s
test14: Accepted. Time: 0.031s
test15: Accepted. Time: 0.031s
test16: Accepted. Time: 0.4s
test17: Accepted. Time: 0.03s
test18: Accepted. Time: 0.03s
test19: Accepted. Time: 0.029s
test20: Accepted. Time: 0.062s
