10.0
Max time: 60
Max memory: 62
test01: Accepted. Time: 0.06s
test02: Accepted. Time: 0.04s
test03: Accepted. Time: 0.029s
test04: Accepted. Time: 0.027s
test05: Accepted. Time: 0.03s
test06: Accepted. Time: 0.029s
test07: Accepted. Time: 0.028s
test08: Accepted. Time: 0.028s
test09: Accepted. Time: 0.028s
test10: Accepted. Time: 0.029s
test11: Accepted. Time: 0.029s
test12: Accepted. Time: 0.031s
test13: Accepted. Time: 0.031s
test14: Accepted. Time: 0.031s
test15: Accepted. Time: 0.032s
test16: Accepted. Time: 0.03s
test17: Accepted. Time: 0.032s
test18: Accepted. Time: 0.031s
test19: Accepted. Time: 0.031s
test20: Accepted. Time: 0.037s
