9.5
Max time: 56
Max memory: 62
test01: Accepted. Time: 0.056s
test02: Accepted. Time: 0.046s
test03: Accepted. Time: 0.033s
test04: Accepted. Time: 0.028s
test05: Accepted. Time: 0.025s
test06: Accepted. Time: 0.03s
test07: Accepted. Time: 0.029s
test08: Accepted. Time: 0.026s
test09: Accepted. Time: 0.029s
test10: Accepted. Time: 0.028s
test11: Accepted. Time: 0.028s
test12: Accepted. Time: 0.028s
test13: Accepted. Time: 0.026s
test14: Accepted. Time: 0.025s
test15: Accepted. Time: 0.028s
test16: Accepted. Time: 0.025s
test17: Accepted. Time: 0.03s
test18: Accepted. Time: 0.027s
test19: Accepted. Time: 0.026s
test20: Wrong Answer. Time: 0.028s
