10.0
Max time: 83
Max memory: 56
test01: Accepted. Time: 0.068s
test02: Accepted. Time: 0.08s
test03: Accepted. Time: 0.074s
test04: Accepted. Time: 0.083s
test05: Accepted. Time: 0.077s
test06: Accepted. Time: 0.07s
test07: Accepted. Time: 0.071s
test08: Accepted. Time: 0.072s
test09: Accepted. Time: 0.08s
test10: Accepted. Time: 0.067s
test11: Accepted. Time: 0.077s
test12: Accepted. Time: 0.066s
test13: Accepted. Time: 0.067s
test14: Accepted. Time: 0.071s
test15: Accepted. Time: 0.072s
test16: Accepted. Time: 0.071s
test17: Accepted. Time: 0.07s
test18: Accepted. Time: 0.063s
test19: Accepted. Time: 0.069s
test20: Accepted. Time: 0.063s
