10.0
Max time: 44
Max memory: 131
test01: Accepted. Time: 0.044s
test02: Accepted. Time: 0.027s
test03: Accepted. Time: 0.027s
test04: Accepted. Time: 0.029s
test05: Accepted. Time: 0.028s
test06: Accepted. Time: 0.027s
test07: Accepted. Time: 0.028s
test08: Accepted. Time: 0.027s
test09: Accepted. Time: 0.026s
test10: Accepted. Time: 0.028s
test11: Accepted. Time: 0.028s
test12: Accepted. Time: 0.027s
test13: Accepted. Time: 0.028s
test14: Accepted. Time: 0.027s
test15: Accepted. Time: 0.029s
test16: Accepted. Time: 0.03s
test17: Accepted. Time: 0.028s
test18: Accepted. Time: 0.027s
test19: Accepted. Time: 0.031s
test20: Accepted. Time: 0.028s
