10.0
Max time: 367
Max memory: 132
test01: Accepted. Time: 0.028s
test02: Accepted. Time: 0.025s
test03: Accepted. Time: 0.367s
test04: Accepted. Time: 0.348s
test05: Accepted. Time: 0.332s
test06: Accepted. Time: 0.35s
test07: Accepted. Time: 0.057s
test08: Accepted. Time: 0.06s
test09: Accepted. Time: 0.058s
test10: Accepted. Time: 0.058s
test11: Accepted. Time: 0.061s
test12: Accepted. Time: 0.027s
test13: Accepted. Time: 0.027s
test14: Accepted. Time: 0.029s
test15: Accepted. Time: 0.028s
test16: Accepted. Time: 0.342s
test17: Accepted. Time: 0.025s
test18: Accepted. Time: 0.025s
test19: Accepted. Time: 0.026s
test20: Accepted. Time: 0.053s
