10.0
Max time: 378
Max memory: 118
test01: Accepted. Time: 0.037s
test02: Accepted. Time: 0.027s
test03: Accepted. Time: 0.349s
test04: Accepted. Time: 0.364s
test05: Accepted. Time: 0.371s
test06: Accepted. Time: 0.378s
test07: Accepted. Time: 0.057s
test08: Accepted. Time: 0.057s
test09: Accepted. Time: 0.057s
test10: Accepted. Time: 0.06s
test11: Accepted. Time: 0.053s
test12: Accepted. Time: 0.025s
test13: Accepted. Time: 0.024s
test14: Accepted. Time: 0.024s
test15: Accepted. Time: 0.024s
test16: Accepted. Time: 0.356s
test17: Accepted. Time: 0.025s
test18: Accepted. Time: 0.028s
test19: Accepted. Time: 0.027s
test20: Accepted. Time: 0.057s
