9.5
Max time: 49
Max memory: 45
test01: Accepted. Time: 0.048s
test02: Accepted. Time: 0.028s
test03: Accepted. Time: 0.028s
test04: Accepted. Time: 0.028s
test05: Accepted. Time: 0.028s
test06: Accepted. Time: 0.031s
test07: Accepted. Time: 0.028s
test08: Accepted. Time: 0.028s
test09: Accepted. Time: 0.028s
test10: Accepted. Time: 0.027s
test11: Accepted. Time: 0.028s
test12: Accepted. Time: 0.029s
test13: Accepted. Time: 0.027s
test14: Accepted. Time: 0.028s
test15: Accepted. Time: 0.028s
test16: Accepted. Time: 0.026s
test17: Accepted. Time: 0.027s
test18: Accepted. Time: 0.028s
test19: Accepted. Time: 0.027s
test20: Wrong Answer. Time: 0.028s
